timestep,mean_reward_last_100,mean_episode_length_last_100
908000,0.82,16.09
909000,0.93,17.38
910000,0.82,15.88
911000,0.79,15.38
912000,0.78,15.61
913000,0.78,15.5
914000,0.81,15.67
915000,1.08,19.13
916000,0.75,15.22
917000,0.89,16.81
918000,0.98,18.22
919000,1.06,19.55
920000,1.13,20.66
921000,1.07,19.64
922000,1.07,19.32
923000,0.86,16.26
924000,0.82,16.03
925000,0.98,18.18
926000,1.04,18.87
927000,0.92,17.47
928000,0.76,15.25
929000,0.83,16.17
930000,0.89,16.99
931000,0.81,16.14
932000,0.84,16.41
933000,0.75,15.25
934000,0.59,13.28
935000,0.9,17.1
936000,0.75,15.0
937000,0.8,15.69
938000,1.04,19.1
939000,0.88,16.99
940000,0.83,16.2
941000,0.99,18.32
942000,1.03,18.77
943000,0.96,17.74
944000,0.98,18.2
945000,0.97,18.1
946000,0.83,16.72
947000,0.74,15.27
948000,0.68,14.54
949000,0.75,15.55
950000,0.71,14.97
951000,0.87,16.73
952000,1.02,19.15
953000,1.02,19.08
954000,1.05,19.15
955000,0.91,17.49
956000,0.93,17.61
957000,0.83,16.32
958000,0.87,17.09
959000,0.9,17.32
960000,0.91,17.29
961000,0.83,16.25
962000,0.89,16.95
963000,0.8,16.06
964000,0.82,16.0
965000,0.94,17.89
966000,0.87,16.95
967000,0.8,15.86
968000,0.87,16.79
969000,0.87,16.56
970000,0.72,14.62
971000,0.83,15.99
972000,0.9,16.88
973000,0.87,16.7
974000,1.04,18.88
975000,1.0,18.27
976000,0.84,16.13
977000,0.83,16.11
978000,0.79,15.67
979000,0.78,15.67
980000,1.07,19.43
981000,0.93,17.8
982000,0.84,16.85
983000,0.96,18.31
984000,0.86,17.05
985000,1.01,18.48
986000,1.01,18.31
987000,0.93,17.44
988000,0.94,17.8
989000,0.91,17.9
990000,0.87,17.02
991000,0.92,17.41
992000,0.85,16.76
993000,0.88,17.27
994000,1.01,18.87
995000,0.98,18.35
996000,0.85,16.31
997000,0.84,16.15
998000,0.86,16.9
999000,0.81,16.66
1000000,0.72,15.25
1001000,0.71,14.9
1002000,0.95,17.87
1003000,0.82,16.22
1004000,0.86,16.66
1005000,0.95,17.65
1006000,0.92,17.36
1007000,0.78,15.8
1008000,0.57,13.38
1009000,0.71,14.96
1010000,0.78,16.17
1011000,0.94,18.25
1012000,0.86,16.92
1013000,0.94,17.74
1014000,0.82,16.44
1015000,0.75,15.48
1016000,0.69,14.66
