timestep,mean_reward_last_100,mean_episode_length_last_100,total_episodes
609000,2.05,31.63,26543
610000,1.95,30.62,26574
611000,2.06,32.13,26604
612000,2.13,32.74,26637
613000,2.18,33.84,26665
614000,2.04,32.16,26696
615000,2.07,32.25,26729
616000,2.14,33.7,26755
617000,2.11,32.99,26787
618000,2.23,34.48,26816
619000,2.09,33.34,26847
620000,2.13,33.95,26876
621000,2.1,33.68,26906
622000,2.08,33.3,26935
623000,2.17,33.95,26965
624000,2.11,33.12,26997
625000,2.02,31.7,27030
626000,1.99,31.23,27061
627000,1.96,30.99,27092
628000,2.05,32.68,27124
629000,1.93,31.15,27158
630000,2.1,32.57,27186
631000,2.25,34.17,27212
632000,2.21,33.39,27245
633000,2.18,33.09,27275
634000,2.13,32.46,27306
635000,2.31,33.78,27334
636000,2.31,34.06,27362
637000,2.39,35.13,27391
638000,2.27,34.22,27420
639000,2.24,33.34,27453
640000,2.1,31.99,27485
641000,2.16,32.19,27515
642000,2.03,30.71,27550
643000,2.09,31.64,27580
644000,2.13,32.65,27606
645000,2.13,33.2,27636
646000,2.19,34.06,27668
647000,2.16,33.52,27699
648000,2.07,32.74,27730
649000,2.05,32.42,27759
650000,1.99,31.93,27793
651000,2.01,32.24,27821
652000,2.11,33.32,27850
653000,1.99,31.81,27883
654000,2.06,32.17,27914
655000,2.14,32.61,27941
656000,2.24,33.94,27970
657000,2.21,33.57,28003
658000,2.15,32.89,28034
659000,2.05,31.36,28066
660000,1.99,31.18,28098
661000,2.04,31.72,28128
662000,1.95,31.06,28162
663000,2.02,32.09,28191
664000,2.01,32.07,28222
665000,2.08,33.07,28252
666000,2.12,33.26,28283
667000,2.07,32.47,28313
668000,2.14,32.79,28343
669000,2.03,31.52,28376
670000,1.97,30.75,28410
671000,2.13,32.83,28437
672000,2.16,33.19,28467
673000,2.23,34.4,28497
674000,2.24,34.19,28525
675000,2.21,33.63,28556
676000,2.05,31.56,28590
677000,2.07,32.1,28620
678000,2.12,32.76,28649
679000,2.16,33.49,28678
680000,2.29,35.31,28705
681000,2.3,35.27,28732
682000,2.3,35.54,28763
683000,2.32,35.55,28789
684000,2.38,35.93,28816
685000,2.42,35.92,28844
686000,2.22,33.83,28878
687000,2.0,31.16,28911
688000,1.97,31.59,28939
689000,2.01,32.13,28971
690000,2.15,33.19,28999
691000,2.22,33.57,29030
692000,2.16,31.87,29065
693000,2.21,32.78,29092
694000,2.11,31.98,29124
695000,2.11,32.12,29156
696000,2.09,32.59,29184
697000,1.99,31.5,29217
698000,2.01,32.02,29246
699000,2.07,32.72,29275
700000,2.18,33.45,29304
701000,2.22,33.78,29333
702000,2.37,36.08,29360
703000,2.45,36.74,29385
704000,2.29,34.78,29419
705000,2.36,35.35,29447
706000,2.29,34.32,29476
707000,2.24,33.88,29504
708000,2.41,36.21,29530
709000,2.47,36.93,29555
710000,2.6,38.28,29581
711000,2.38,35.72,29615
712000,2.24,33.91,29642
713000,2.08,31.77,29676
714000,2.18,33.7,29702
715000,2.09,32.66,29736
716000,2.08,33.04,29765
717000,2.13,33.79,29794
718000,2.24,34.79,29820
719000,2.26,35.39,29851
720000,2.22,34.51,29880
721000,2.05,32.52,29914
722000,1.96,30.88,29945
723000,2.08,32.85,29973
724000,2.17,33.47,30002
725000,2.27,34.5,30029
726000,2.28,34.44,30060
727000,2.27,34.34,30088
728000,2.28,34.99,30117
729000,2.22,34.45,30147
730000,2.01,31.74,30183
731000,2.03,31.8,30210
732000,2.12,32.81,30239
733000,2.1,32.57,30270
734000,2.24,34.57,30296
735000,2.24,34.48,30327
736000,2.15,33.48,30361
737000,2.17,33.59,30387
738000,2.11,32.54,30420
739000,2.21,33.77,30447
740000,2.04,31.93,30482
741000,1.98,31.45,30514
742000,2.07,32.5,30541
743000,2.21,34.49,30565
744000,2.29,35.19,30598
745000,2.27,34.61,30628
746000,2.21,34.38,30655
747000,2.22,34.32,30685
748000,2.21,34.2,30713
749000,2.27,34.9,30742
750000,2.46,36.78,30764
751000,2.39,35.66,30798
752000,2.28,35.23,30827
753000,2.39,33.38,30856
754000,2.5,34.27,30884
755000,2.48,34.34,30916
756000,2.07,32.33,30947
757000,2.09,32.32,30975
758000,2.23,34.09,31004
759000,2.41,35.47,31031
760000,2.39,35.67,31059
761000,2.39,35.09,31089
762000,2.26,33.18,31123
763000,2.2,33.03,31151
764000,2.0,30.84,31182
765000,2.04,31.38,31219
766000,2.1,31.4,31248
767000,2.11,31.57,31280
768000,2.23,33.32,31309
769000,2.3,34.65,31335
770000,2.23,34.07,31366
771000,2.12,33.35,31399
772000,2.17,33.63,31426
773000,2.25,34.74,31450
774000,2.43,36.68,31477
775000,2.45,36.44,31509
776000,2.18,33.3,31541
777000,2.12,32.89,31570
778000,2.2,33.65,31600
779000,2.16,33.41,31629
780000,2.06,31.9,31663
781000,2.08,31.97,31695
782000,1.92,30.64,31725
783000,2.15,33.36,31754
784000,2.21,34.25,31781
785000,2.25,34.73,31813
786000,2.22,34.17,31843
787000,2.25,34.04,31870
788000,2.22,33.56,31902
789000,2.17,33.41,31932
790000,2.08,32.65,31963
791000,2.04,32.54,31991
792000,2.14,33.84,32022
793000,2.03,32.29,32056
794000,2.14,33.32,32080
795000,2.2,33.87,32110
796000,2.29,35.43,32138
797000,2.49,37.56,32165
798000,2.24,34.12,32198
799000,2.31,34.61,32225
800000,2.23,33.7,32256
801000,2.23,33.75,32286
802000,2.05,32.2,32320
803000,1.99,31.2,32350
804000,2.16,33.52,32376
805000,2.28,35.38,32403
806000,2.28,34.92,32433
807000,2.25,34.66,32462
808000,2.29,34.53,32493
809000,2.21,32.94,32524
810000,2.18,32.69,32554
811000,2.25,33.84,32581
812000,2.21,33.32,32614
813000,2.14,33.4,32643
814000,1.92,30.21,32680
815000,2.02,31.17,32710
816000,2.2,33.25,32734
817000,2.31,34.39,32762
818000,2.4,35.72,32794
819000,2.17,32.96,32825
820000,2.1,32.29,32854
821000,2.08,32.37,32885
822000,2.11,33.2,32915
823000,2.08,32.63,32946
824000,2.01,31.44,32980
825000,2.14,32.77,33008
826000,2.2,33.58,33033
827000,2.32,34.9,33061
828000,2.53,37.32,33087
829000,2.36,35.3,33118
